Codec,Images,PSNR,SSIM,BPP,Ratio,Enc_ms,Dec_ms,Size_KB
AVIF q25,50,40.7320,0.9661,0.0531,310.2610,11.5717,0.0504,2.1243
AVIF q50,50,45.1724,0.9825,0.1286,129.3939,16.2367,0.0596,5.1458
AVIF q75,50,48.0626,0.9885,0.2461,68.5469,18.0663,0.0559,9.8438
AVIF q95,50,51.7337,0.9939,0.9363,17.9555,38.6342,0.0607,37.4527
AVIF-lossless,50,48.0626,0.9885,0.2461,68.5469,18.2441,0.0574,9.8438
HEIC q25,50,41.7087,0.9703,0.0656,250.4548,25.6211,0.0859,2.6236
HEIC q50,50,47.7324,0.9883,0.2232,74.3907,44.0850,0.0898,8.9272
HEIC q75,50,56.9553,0.9985,1.8540,8.7392,107.2289,0.0894,74.1612
HEIC q95,50,73.4179,1.0000,2.6725,6.0638,109.5511,0.0965,106.9010
JPEG q25,50,41.1667,0.9637,0.1738,93.2920,0.3345,0.0279,6.9535
JPEG q50,50,44.3935,0.9792,0.2409,67.8378,0.3642,0.0317,9.6370
JPEG q75,50,46.8694,0.9864,0.3450,47.6083,0.3881,0.0279,13.8004
JPEG q95,50,50.8128,0.9930,1.0484,15.6084,0.5699,0.0297,41.9366
JPEG2000 q75,50,inf,1.0000,4.8620,3.2947,42.2134,0.0602,194.4803
JPEG2000-lossless,50,inf,1.0000,4.8620,3.2947,42.4130,0.0650,194.4803
PNG,50,inf,1.0000,6.7902,2.3601,10.6269,0.0432,271.6068
WebP q25,50,40.4135,0.9642,0.0688,242.7982,9.1198,0.1256,2.7529
WebP q50,50,42.4137,0.9732,0.0973,173.1526,9.5183,0.1047,3.8925
WebP q75,50,43.7784,0.9784,0.1303,129.7713,10.6636,0.1284,5.2126
WebP q95,50,48.5315,0.9898,0.5133,34.1102,14.5954,0.1170,20.5339
WebP-lossless,50,inf,1.0000,2.2585,7.1615,75.5023,0.1290,90.3382
bmshj2018-factorized-q1,50,34.9588,0.9533,0.0639,250.9960,71.4529,99.5270,2.5578
bmshj2018-factorized-q4,50,41.1890,0.9760,0.1769,90.7271,71.7585,101.3596,7.0754
bmshj2018-factorized-q8,50,48.5099,0.9912,0.6420,24.9896,125.2083,167.2799,25.6809
bmshj2018-hyperprior-q1,50,34.7067,0.9495,0.0355,463.3722,84.0506,112.3906,1.4194
bmshj2018-hyperprior-q4,50,40.8940,0.9739,0.0811,202.9326,85.2709,114.4660,3.2448
bmshj2018-hyperprior-q8,50,48.7049,0.9908,0.2321,72.1850,150.6651,198.0341,9.2833
mbt2018-mean-q1,50,37.5246,0.9512,0.0235,709.5054,100.2485,131.5843,0.9400
mbt2018-mean-q4,50,42.4652,0.9755,0.0635,262.8409,115.6962,149.3304,2.5401
mbt2018-mean-q8,50,48.5629,0.9904,0.2130,78.6249,193.4868,243.9274,8.5209
mbt2018-q1,50,37.7113,0.9532,0.0194,872.4366,506.5401,2357.6171,0.7755
